City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,egilsstadir,65.2653,-14.3948,286.1,71,75,5.66,IS,1690916599
218,chania,35.5122,24.0156,300.93,69,0,0.0,GR,1690916462
219,jagna,9.6531,124.3697,300.28,85,99,5.24,PH,1690916750
220,flying fish cove,-10.4217,105.6791,296.97,94,75,2.06,CX,1690916750
221,tamandare,-8.7597,-35.1047,299.17,75,0,3.52,BR,1690916751
222,koulamoutou,-1.1303,12.4736,300.61,56,98,2.18,GA,1690916751
223,puerto santa,-8.9906,-78.6456,295.33,72,56,5.01,PE,1690916752
224,pathein,16.7833,94.7333,299.67,88,100,5.06,MM,1690916752
225,cockburn town,21.4612,-71.1419,304.13,66,40,5.66,TC,1690916753
226,vorkuta,67.5,64.0,288.02,84,100,2.03,RU,1690916753
227,san antonio,29.4241,-98.4936,312.73,37,20,4.12,US,1690916675
228,jining,35.405,116.5814,298.07,93,62,3.63,CN,1690916754
229,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,100,20,1.0,RU,1690916755
230,lazaro cardenas,17.9583,-102.2,301.17,82,100,1.04,MX,1690916755
231,alaghsas,17.0187,8.0168,298.09,83,40,11.32,NE,1690916755
232,zouerate,22.7187,-12.4521,316.08,6,5,3.77,MR,1690916756
233,rawson,-43.3002,-65.1023,287.89,26,0,13.84,AR,1690916756
234,arraial do cabo,-22.9661,-42.0278,297.13,73,0,5.66,BR,1690916555
235,kamianske,48.5113,34.6021,295.79,63,7,4.15,UA,1690916757
236,harper,4.375,-7.7169,298.18,87,100,5.59,LR,1690916758
237,colombo,6.9319,79.8478,301.12,88,100,4.46,LK,1690916520
238,dolores,-36.3132,-57.6792,297.19,64,0,2.82,AR,1690916759
239,usogorsk,63.4106,48.6872,293.6,64,99,2.12,RU,1690916759
240,castillos,-34.1667,-53.8333,297.11,65,0,3.13,UY,1690916760
241,sisimiut,66.9395,-53.6735,278.39,93,100,1.96,GL,1690916760
242,atafu village,-8.5421,-172.5159,301.61,76,82,6.51,TK,1690916761
243,hadibu,12.65,54.0333,299.61,76,39,7.51,YE,1690916761
244,sabang,5.8933,95.3214,301.15,75,100,9.94,ID,1690916762
245,lastoursville,-0.8143,12.7287,301.09,50,100,0.77,GA,1690916763
246,chinde,26.8418,88.0763,292.79,97,100,1.65,NP,1690916763
247,gemlik,40.4309,29.1597,297.62,84,0,1.98,TR,1690916764
248,belyy yar,53.6039,91.3903,295.09,78,40,2.0,RU,1690916765
249,gremyachevo,54.7503,38.5869,290.9,93,100,2.66,RU,1690916765
250,kupang,-10.1667,123.5833,296.55,78,98,4.68,ID,1690916766
251,wattegama,6.7989,81.4808,299.04,67,100,2.35,LK,1690916767
252,mount pearl,47.5166,-52.7813,293.89,78,75,7.2,CA,1690916768
253,shimokizukuri,40.8061,140.3861,295.66,96,100,2.32,JP,1690916769
254,waingapu,-9.6567,120.2641,296.42,90,9,4.78,ID,1690916770
255,bayanaul,50.7889,75.6956,295.19,41,30,2.31,KZ,1690916770
256,bishkul,54.7803,69.1033,291.94,68,100,3.57,KZ,1690916772
257,ponta delgada,37.7333,-25.6667,297.55,94,40,4.63,PT,1690916772
258,kemijarvi,66.7131,27.4306,288.78,90,99,2.19,FI,1690916773
259,taytayan,7.7339,126.5019,297.81,78,65,1.79,PH,1690916773
260,boda,4.3189,17.4695,295.24,92,100,1.49,CF,1690916774
261,nangka,9.4006,122.8169,299.02,89,100,2.76,PH,1690916775
262,gorom-gorom,14.4439,-0.2361,306.71,45,100,4.95,BF,1690916775
263,hamilton,39.1834,-84.5333,302.59,47,0,3.6,US,1690916131
264,argo,37.6333,22.7333,301.92,64,9,0.98,GR,1690916776
265,anadyr,64.75,177.4833,285.93,71,20,5.0,RU,1690916777
266,hotan,37.0997,79.9269,301.57,22,2,3.71,CN,1690916537
267,sabha,27.0377,14.4283,305.91,16,0,4.14,LY,1690916777
268,patacamaya,-17.2333,-67.9167,287.42,15,0,1.88,BO,1690916778
269,yunfu,22.9306,112.0373,298.8,93,100,0.35,CN,1690916644
